timeStamp,userID,targetApp,eventType,url,content,target.workbookName,target.sheetName,target.id,target.className,target.tagName,target.type,target.name,target.value,target.innerText,target.checked,target.href,target.option,target.title,target.innerHTML
2020-06-16T04:40:35.492Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,A2,,,,,John,,,,,,
2020-06-16T04:40:35.924Z,,OS-Clipboard,copy,,John,,,,,,,,,,,,,,
2020-06-16T04:40:37.587Z,vleno,Chrome,clickTextField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,,,INPUT,text,SingleLine,,,,,,,
2020-06-16T04:40:37.912Z,vleno,Chrome,paste,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,John,,,,,INPUT,text,SingleLine,,,,,,,
2020-06-16T04:40:38.292Z,vleno,Chrome,editField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,,,INPUT,text,SingleLine,John,,,,,,
2020-06-16T04:40:40.128Z,,OS-Clipboard,copy,,Doe,,,,,,,,,,,,,,
2020-06-16T04:40:40.060Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,B2,,,,,Doe,,,,,,
2020-06-16T04:40:41.691Z,vleno,Chrome,clickTextField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,,,INPUT,text,SingleLine,John,,,,,,
2020-06-16T04:40:42.045Z,vleno,Chrome,paste,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,Doe,,,,,INPUT,text,SingleLine,John ,,,,,,
2020-06-16T04:40:42.427Z,vleno,Chrome,editField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,,,INPUT,text,SingleLine,John Doe,,,,,,
2020-06-16T04:40:44.575Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,C2,,,,,11/03/1986,,,,,,
2020-06-16T04:40:44.657Z,,OS-Clipboard,copy,,11/03/1986,,,,,,,,,,,,,,
2020-06-16T04:40:46.500Z,vleno,Chrome,clickTextField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,Date-date,hasDatepicker,INPUT,text,Date,,,,,,,
2020-06-16T04:40:46.697Z,vleno,Chrome,paste,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,11/03/1986,,,Date-date,hasDatepicker,INPUT,text,Date,,,,,,,
2020-06-16T04:40:51.391Z,vleno,Chrome,editField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,Date-date,hasDatepicker,INPUT,text,Date,11-03-1986,,,,,,
2020-06-16T04:40:53.993Z,,OS-Clipboard,copy,,Australia,,,,,,,,,,,,,,
2020-06-16T04:40:53.912Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,D2,,,,,Australia,,,,,,
2020-06-16T04:40:55.595Z,vleno,Chrome,clickTextField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,,,INPUT,text,SingleLine1,,,,,,,
2020-06-16T04:40:55.840Z,vleno,Chrome,paste,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,Australia,,,,,INPUT,text,SingleLine1,,,,,,,
2020-06-16T04:40:56.190Z,vleno,Chrome,editField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,,,INPUT,text,SingleLine1,Australia,,,,,,
2020-06-16T04:40:58.777Z,,OS-Clipboard,copy,,+61 039 689 9324,,,,,,,,,,,,,,
2020-06-16T04:40:58.723Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,F2,,,,,+61 039 689 9324,,,,,,
2020-06-16T04:41:00.579Z,vleno,Chrome,clickTextField,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,PhoneNumber,,INPUT,text,PhoneNumber,,,,,,,
